Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Fabric (product.metafields.shopify.fabric),Neckline (product.metafields.shopify.neckline),Scarf/Shawl style (product.metafields.shopify.scarf-shawl-style),Size (product.metafields.shopify.size),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Status
ept-07,EPT-07 KOA,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br>Trouser: </b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/6-min_08777116-efbb-4179-87b6-ce3104a60a7a.webp?v=1744957720,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-07,EPT-07 KOA,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br>Trouser: </b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/5-min_b137cbce-c2fb-4c11-9775-c5209c1266a6.webp?v=1744957720,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-07,EPT-07 KOA,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br>Trouser: </b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/3-min_0b4f548c-ce26-4799-8170-a091de6c7c15.webp?v=1744957720,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-07,EPT-07 KOA,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br>Trouser: </b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/4-min_f9152e58-63d5-419e-adf1-952334a4c32b.webp?v=1744957720,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-07,EPT-07 KOA,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br>Trouser: </b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/1-min_d00d414e-f8a3-400d-8ac1-bf589710380c.webp?v=1744957702,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-07,EPT-07 KOA,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br>Trouser: </b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/2-min_57071edf-d35b-44c3-91ad-a8fc74672270.webp?v=1744957701,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-07,EPT-07 KOA,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br>Trouser: </b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/6-min_08777116-efbb-4179-87b6-ce3104a60a7a.webp?v=1744957720,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-06,EPT-06 FIONA,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br>Trouser: </b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/7-min_e3c9193d-a18f-46f6-b6c3-c173c196697b.webp?v=1744957687,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-06,EPT-06 FIONA,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br>Trouser: </b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/6-min_8277f8e4-9b01-45eb-b6b2-f7aceb86bccc.webp?v=1744957687,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-06,EPT-06 FIONA,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br>Trouser: </b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/2-min_0c653b85-543c-4945-9192-e984845b4aa7.webp?v=1744957687,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
